Year,Region,State,Number of facilities,Number of inmates held,"Inmates per 100,000 U.S. residents",Confinement facilities,Community-based facilities,Maximum Security,Medium Security ,Minimum Security,Total employees ,Correctional officers,Inmates per employee ,Inmates per correctional officer
2000,Northeast,Connecticut,20,"16,984",499,20,0,"8,997","4,859","3,128","6,670","4,488",2.5,3.8
2000,Northeast,Maine,8,"1,629",128,6,2,508,676,445,960,571,1.7,2.9
2000,Northeast,Massachusetts,25,"10,500",165,18,7,"2,404","6,888","1,208","5,834","3,875",1.8,2.7
2000,Northeast,New Hampshire,8,"2,277",184,5,3,"1,476",660,141,"1,103",612,2.1,3.7
2000,Northeast,New Jersey,43,"27,118",322,25,18,"5,595","16,945","4,578","9,722","6,626",2.8,4.1
2000,Northeast,New York,72,"71,938",379,63,9,"23,596","41,387","6,955","33,050","22,108",2.2,3.3
2000,Northeast,Pennsylvania,44,"36,895",300,25,19,"14,814","17,145","4,936","13,493","7,800",2.7,4.7
2000,Northeast,Rhode Island,7,"3,347",319,6,1,"1,428","1,405",514,"1,214",960,2.8,3.5
2000,Northeast,Vermont,9,"1,311",215,7,2,/,"1,122",189,712,456,1.8,2.9
2000,Midwest,Illinois,48,"44,150",355,36,12,"13,063","18,127","12,960","15,127","9,346",2.9,4.7
2000,Midwest,Indiana,25,"18,195",299,21,4,"2,048","12,828","3,319","6,745","4,040",2.7,4.5
2000,Midwest,Iowa,30,"9,086",310,8,22,"2,086","5,068","1,932","3,675","2,145",2.5,4.2
2000,Midwest,Kansas,11,"8,992",334,10,1,"7,256",842,894,"3,731","1,960",2.4,4.6
2000,Midwest,Michigan,70,"47,639",479,61,9,"14,674","11,552","21,413","17,530","11,721",2.7,4.1
2000,Midwest,Minnesota,9,"7,451",151,9,0,"3,083","4,368",/,"3,478","1,957",2.1,3.8
2000,Midwest,Missouri,28,"27,963",500,25,3,"10,392","11,747","5,824","9,297","5,448",3,5.1
2000,Midwest,Nebraska,9,"3,508",205,7,2,"2,200",679,629,"1,252",709,2.8,4.9
2000,Midwest,North Dakota,3,992,154,3,0,628,216,148,321,257,3.1,3.9
2000,Midwest,Ohio,34,"47,915",422,34,0,"14,840","27,154","5,921","15,762","9,372",3,5.1
2000,Midwest,South Dakota,4,"2,591",343,3,1,/,"2,517",74,567,338,4.6,7.7
2000,Midwest,Wisconsin,30,"15,511",289,21,9,"5,454","7,804","2,253","5,323","3,287",2.9,4.7
2000,South,Alabama,36,"22,422",504,19,17,"5,736","10,655","6,031","3,295","2,367",6.8,9.5
2000,South,Arkansas,15,"10,465",391,8,7,"2,123","7,363",979,"2,626","2,195",4,4.8
2000,South,Delaware,9,"6,023",769,5,4,"2,283","2,814",926,"1,863","1,429",3.2,4.2
2000,South,District of Columbia,8,"3,767",658,3,5,416,"2,758",593,"1,562","1,238",2.4,3
