"Title:","General Economic Conditions from the Gender Statistics Database"
"SubTitle:",""
"Time:","2000 - 2021"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","World Bank (2022-09-07). Gender Statistics: General Economic Conditions | GINI index (World Bank estimate) | Inflation, consumer prices (annual %) | GDP (current US$) | GDP growth (annual %) | GDP per capita (constant 2010 US$) | GDP per capita (current US$) | GNI per capita, Atlas method (current US$) | GNI per capita, PPP (current international $) | GNI, Atlas method (current US$) | Poverty headcount ratio at national poverty lines (% of population), 2000 - 2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  051-007-004 doi:https://doi.org/10.6068/DP184D30AADB950"
"ColumnCount:",215
"RowCount:",205

"Country (Code)","Country (Name)","GINI index (World Bank estimate), 2021","Inflation, consumer prices (annual %), 2021","GDP (current US$), 2020","GDP growth (annual %), 2020","GDP per capita (constant 2010 US$), 2020","GDP per capita (current US$), 2020","GINI index (World Bank estimate), 2020","GNI per capita, Atlas method (current US$), 2020","GNI per capita, PPP (current international $), 2020","GNI, Atlas method (current US$), 2020","Inflation, consumer prices (annual %), 2020","Poverty headcount ratio at national poverty lines (% of population), 2020","GDP (current US$), 2019","GDP growth (annual %), 2019","GDP per capita (constant 2010 US$), 2019","GDP per capita (current US$), 2019","GINI index (World Bank estimate), 2019","GNI per capita, Atlas method (current US$), 2019","GNI per capita, PPP (current international $), 2019","GNI, Atlas method (current US$), 2019","Inflation, consumer prices (annual %), 2019","Poverty headcount ratio at national poverty lines (% of population), 2019","GDP (current US$), 2018","GDP growth (annual %), 2018","GDP per capita (constant 2010 US$), 2018","GDP per capita (current US$), 2018","GINI index (World Bank estimate), 2018","GNI per capita, Atlas method (current US$), 2018","GNI per capita, PPP (current international $), 2018","GNI, Atlas method (current US$), 2018","Inflation, consumer prices (annual %), 2018","Poverty headcount ratio at national poverty lines (% of population), 2018","GDP (current US$), 2017","GDP growth (annual %), 2017","GDP per capita (constant 2010 US$), 2017","GDP per capita (current US$), 2017","GINI index (World Bank estimate), 2017","GNI per capita, Atlas method (current US$), 2017","GNI per capita, PPP (current international $), 2017","GNI, Atlas method (current US$), 2017","Inflation, consumer prices (annual %), 2017","Poverty headcount ratio at national poverty lines (% of population), 2017","GDP (current US$), 2016","GDP growth (annual %), 2016","GDP per capita (constant 2010 US$), 2016","GDP per capita (current US$), 2016","GINI index (World Bank estimate), 2016","GNI per capita, Atlas method (current US$), 2016","GNI per capita, PPP (current international $), 2016","GNI, Atlas method (current US$), 2016","Inflation, consumer prices (annual %), 2016","Poverty headcount ratio at national poverty lines (% of population), 2016","GDP (current US$), 2015","GDP growth (annual %), 2015","GDP per capita (constant 2010 US$), 2015","GDP per capita (current US$), 2015","GINI index (World Bank estimate), 2015","GNI per capita, Atlas method (current US$), 2015","GNI per capita, PPP (current international $), 2015","GNI, Atlas method (current US$), 2015","Inflation, consumer prices (annual %), 2015","Poverty headcount ratio at national poverty lines (% of population), 2015","GDP (current US$), 2014","GDP growth (annual %), 2014","GDP per capita (constant 2010 US$), 2014","GDP per capita (current US$), 2014","GINI index (World Bank estimate), 2014","GNI per capita, Atlas method (current US$), 2014","GNI per capita, PPP (current international $), 2014","GNI, Atlas method (current US$), 2014","Inflation, consumer prices (annual %), 2014","Poverty headcount ratio at national poverty lines (% of population), 2014","GDP (current US$), 2013","GDP growth (annual %), 2013","GDP per capita (constant 2010 US$), 2013","GDP per capita (current US$), 2013","GINI index (World Bank estimate), 2013","GNI per capita, Atlas method (current US$), 2013","GNI per capita, PPP (current international $), 2013","GNI, Atlas method (current US$), 2013","Inflation, consumer prices (annual %), 2013","Poverty headcount ratio at national poverty lines (% of population), 2013","GDP (current US$), 2012","GDP growth (annual %), 2012","GDP per capita (constant 2010 US$), 2012","GDP per capita (current US$), 2012","GINI index (World Bank estimate), 2012","GNI per capita, Atlas method (current US$), 2012","GNI per capita, PPP (current international $), 2012","GNI, Atlas method (current US$), 2012","Inflation, consumer prices (annual %), 2012","Poverty headcount ratio at national poverty lines (% of population), 2012","GDP (current US$), 2011","GDP growth (annual %), 2011","GDP per capita (constant 2010 US$), 2011","GDP per capita (current US$), 2011","GINI index (World Bank estimate), 2011","GNI per capita, Atlas method (current US$), 2011","GNI per capita, PPP (current international $), 2011","GNI, Atlas method (current US$), 2011","Inflation, consumer prices (annual %), 2011","Poverty headcount ratio at national poverty lines (% of population), 2011","GDP (current US$), 2010","GDP growth (annual %), 2010","GDP per capita (constant 2010 US$), 2010","GDP per capita (current US$), 2010","GINI index (World Bank estimate), 2010","GNI per capita, Atlas method (current US$), 2010","GNI per capita, PPP (current international $), 2010","GNI, Atlas method (current US$), 2010","Inflation, consumer prices (annual %), 2010","Poverty headcount ratio at national poverty lines (% of population), 2010","GDP (current US$), 2009","GDP growth (annual %), 2009","GDP per capita (constant 2010 US$), 2009","GDP per capita (current US$), 2009","GINI index (World Bank estimate), 2009","GNI per capita, Atlas method (current US$), 2009","GNI per capita, PPP (current international $), 2009","GNI, Atlas method (current US$), 2009","Inflation, consumer prices (annual %), 2009","Poverty headcount ratio at national poverty lines (% of population), 2009","GDP (current US$), 2008","GDP growth (annual %), 2008","GDP per capita (constant 2010 US$), 2008","GDP per capita (current US$), 2008","GINI index (World Bank estimate), 2008","GNI per capita, Atlas method (current US$), 2008","GNI per capita, PPP (current international $), 2008","GNI, Atlas method (current US$), 2008","Inflation, consumer prices (annual %), 2008","Poverty headcount ratio at national poverty lines (% of population), 2008","GDP (current US$), 2007","GDP growth (annual %), 2007","GDP per capita (constant 2010 US$), 2007","GDP per capita (current US$), 2007","GINI index (World Bank estimate), 2007","GNI per capita, Atlas method (current US$), 2007","GNI per capita, PPP (current international $), 2007","GNI, Atlas method (current US$), 2007","Inflation, consumer prices (annual %), 2007","Poverty headcount ratio at national poverty lines (% of population), 2007","GDP (current US$), 2006","GDP growth (annual %), 2006","GDP per capita (constant 2010 US$), 2006","GDP per capita (current US$), 2006","GINI index (World Bank estimate), 2006","GNI per capita, Atlas method (current US$), 2006","GNI per capita, PPP (current international $), 2006","GNI, Atlas method (current US$), 2006","Inflation, consumer prices (annual %), 2006","Poverty headcount ratio at national poverty lines (% of population), 2006","GDP (current US$), 2005","GDP growth (annual %), 2005","GDP per capita (constant 2010 US$), 2005","GDP per capita (current US$), 2005","GINI index (World Bank estimate), 2005","GNI per capita, Atlas method (current US$), 2005","GNI per capita, PPP (current international $), 2005","GNI, Atlas method (current US$), 2005","Inflation, consumer prices (annual %), 2005","Poverty headcount ratio at national poverty lines (% of population), 2005","GDP (current US$), 2004","GDP growth (annual %), 2004","GDP per capita (constant 2010 US$), 2004","GDP per capita (current US$), 2004","GINI index (World Bank estimate), 2004","GNI per capita, Atlas method (current US$), 2004","GNI per capita, PPP (current international $), 2004","GNI, Atlas method (current US$), 2004","Inflation, consumer prices (annual %), 2004","Poverty headcount ratio at national poverty lines (% of population), 2004","GDP (current US$), 2003","GDP growth (annual %), 2003","GDP per capita (constant 2010 US$), 2003","GDP per capita (current US$), 2003","GINI index (World Bank estimate), 2003","GNI per capita, Atlas method (current US$), 2003","GNI per capita, PPP (current international $), 2003","GNI, Atlas method (current US$), 2003","Inflation, consumer prices (annual %), 2003","Poverty headcount ratio at national poverty lines (% of population), 2003","GDP (current US$), 2002","GDP growth (annual %), 2002","GDP per capita (constant 2010 US$), 2002","GDP per capita (current US$), 2002","GINI index (World Bank estimate), 2002","GNI per capita, Atlas method (current US$), 2002","GNI per capita, PPP (current international $), 2002","GNI, Atlas method (current US$), 2002","Inflation, consumer prices (annual %), 2002","Poverty headcount ratio at national poverty lines (% of population), 2002","GDP (current US$), 2001","GDP growth (annual %), 2001","GDP per capita (constant 2010 US$), 2001","GDP per capita (current US$), 2001","GINI index (World Bank estimate), 2001","GNI per capita, Atlas method (current US$), 2001","GNI per capita, PPP (current international $), 2001","GNI, Atlas method (current US$), 2001","Inflation, consumer prices (annual %), 2001","Poverty headcount ratio at national poverty lines (% of population), 2001","GDP (current US$), 2000","GDP growth (annual %), 2000","GDP per capita (constant 2010 US$), 2000","GDP per capita (current US$), 2000","GINI index (World Bank estimate), 2000","GNI per capita, Atlas method (current US$), 2000","GNI per capita, PPP (current international $), 2000","GNI, Atlas method (current US$), 2000","Inflation, consumer prices (annual %), 2000","Poverty headcount ratio at national poverty lines (% of population), 2000"
"ID","Indonesia",37.3,1.6,1058423838300,-2.1,3756.9,3869.6,37,3870,11750,1059510803200,1.9,9.8,1119091259100,5,3877.4,4135.2,37,4050,11940,1096623285900,3,9.4,1042271531000,5.2,3732.9,3893.9,37.8,3840,11300,1028158607200,3.2,9.8,1015618742600,5.1,3589.7,3837.6,38.1,3530,10590,934207964270,3.8,10.6,931877364180,5,3456.9,3562.8,38.6,3400,10160,890493674290,3.5,10.9,860854235070,4.9,3331.7,3331.7,39.7,3430,9910,886547499340,6.4,11.2,890814755230,5,3217.3,3491.6,39.4,3620,9930,922995728690,6.4,11.3,912524136720,5.6,3104.3,3623.9,40,3730,9770,939754625210,6.4,11.4,917869910110,6,2980.6,3694.4,39.7,3580,9440,889278532540,4.3,12,892969107920,6.2,2849.4,3643,39.7,3010,8840,737717018640,5.4,12.5,755094160360,6.2,2720.2,3122.4,36.4,2530,8280,612253815560,5.1,13.3,539580085610,4.6,2595.3,2261.2,35.1,2150,7740,512965798110,4.4,14.1,510228634990,6,2513.7,2166.9,35.2,1940,7440,457090279930,10.2,15.4,432216737770,6.3,2402.7,1860,35.7,1600,6930,371908892060,6.4,16.6,364570514300,5.5,2289.4,1589.8,34.3,1380,6420,315565145520,13.1,17.8,285868618220,5.7,2199.1,1263.3,33,1220,5950,276758984580,10.5,16,256836875300,5,2108.6,1150.3,32.7,1080,5550,241393121390,6.1,16.7,234772463820,4.8,2034.8,1065.6,31.9,900,5260,198234185990,6.8,17.4,195660611170,4.5,1968.3,900.2,31.7,790,5040,172499137490,11.9,18.2,160446947780,3.6,1909.3,748.3,29,720,4770,154214850970,11.5,18.4,165021012080,4.9,1867.5,780.2,28.6,580,4430,122450409460,3.7,19.1
"CD","Chad",,,10829076802,-0.9,634.8,659.3,,630,1470,10389753596,4.5,,11314951343,3.2,660.1,709.5,,700,1620,11171839251,-1,,11239167048,2.4,658.7,726.2,37.5,680,1590,10458838543,4.3,42.3,10000395242,-3,663.2,665.9,,640,1570,9630753004.7,-1.5,,10097778354,-6.3,705,693.4,,730,1630,10676159781,-0.8,,10950392220,2.8,776,776,,880,1760,12409756902,4.4,,13940768066,6.9,779.8,1020.3,,980,1600,13352646184,1.7,,12953535496,5.7,754,979.8,,970,1500,12850832969,0.2,,12367363678,8.9,737.6,967.4,,960,1690,12240627872,7.5,,12172309523,0.1,700.7,984.7,43.3,890,1750,10947483948,2,,10668102735,13.6,724,892.6,,910,1760,10868265190,-2.1,,9290728773.4,4.2,659.3,803.7,,830,1570,9615960367.2,10,,10393834721,3.1,653.9,929.4,,700,1350,7816610658.7,10.3,,8650138068.6,3.3,655.9,799.6,,630,1370,6844584515.4,-9,,7428701809.4,0.6,657.1,710.4,,530,1300,5553854159.4,8,,6649307057,17.3,676.2,658.6,,470,1310,4746028257.7,7.9,,4422855929.2,33.6,597.7,454.3,,340,1120,3263364935.7,-5.4,,2742815194.5,14.7,464.5,292.6,39.8,210,840,2004245902.3,-1.8,,1997005786.5,8.5,420.8,221.4,,200,870,1759223600.2,5.2,,1710843360.6,11.7,403.1,197.1,,190,830,1620722391.2,12.4,,1388506726.6,-0.9,375,166.2,,180,760,1507015785.6,3.8,
"CN","Comoros",,,1235400352.3,-0.1,1255,1420.7,,1400,3130,1218715334.4,,,1192559739.4,1.8,1284.3,1401.5,,1380,3130,1177962014.7,,,1188797574.9,3.6,1290.3,1428.3,,1370,3140,1141638015.5,,,1077439662.6,3.8,1273.1,1323.8,,1280,3050,1043367426.8,,,1012835518.3,3.3,1254.5,1273.1,,1320,2880,1048941074,,,966029542,1.1,1242.6,1242.6,,1380,2720,1075497001.1,,,1149587651.7,2.1,1258.1,1513.8,45.3,1490,2720,1128219911.4,,,1116224161.1,4.5,1261.9,1505.3,,1490,2640,1104985380.5,-4.3,42.4,1015843368.8,3.2,1237,1403.4,,1420,2510,1026307663.4,6.3,,1023086183.8,4.1,1228,1447.9,,1410,2340,993296144.7,1.8,,907978723.6,3.8,1208.5,1316.5,,1380,2250,952040145.6,3.4,,905341090.6,3.2,1192.7,1344.7,,1370,2190,924958221.3,4.4,,915659192.8,4,1183.9,1393.2,,1290,2160,848369503.1,1.7,,795673128.5,0.8,1166,1240.1,,1170,2100,747980630.8,4.5,,698431827.7,2.6,1184.8,1114.9,,1130,2070,709088899,3.4,,653845122.9,2.8,1182.2,1069,,1090,2000,665579358.7,3,,633706149.3,1.9,1177.3,1061.1,55.9,950,1930,565947882.6,4.5,,546885185,2.1,1182.9,937.7,,790,1890,458368022.1,3.8,,425964697.4,2.3,1186.5,748,,680,1860,386786779.3,3.5,,378512003.4,2.3,1187.8,680.9,,700,1840,387103262.8,5.6,,351136568.4,10.8,1189.7,647.4,,730,1800,393975214.8,,
"CF","Congo (Brazzaville)",,,10187122341,-7.9,1608.8,1846.1,,1770,3060,9746530449.9,1.8,,12750339023,-0.1,1792.3,2369.7,,1810,3130,9745310400.3,2.2,,13670036996,-4.8,1840.4,2606.6,,1790,3430,9410629673,1.2,,11090177747,-4.4,1983.9,2170,,1700,3640,8710105872.7,0.5,,10215989995,-10.8,2128.9,2051,,2210,3690,11028313323,3.2,,11885478502,-3.6,2447.5,2447.5,,3090,4610,15020025479,3.2,,17889079958,6.7,2601.5,3776.5,,3990,6020,18906282704,0.9,,17953617927,-0.7,2497.9,3883.7,,3740,5930,17304532917,4.6,,17693924573,9.9,2578.7,3923.1,,3500,5990,15770541471,5,,15634897273,2.2,2406.9,3557.6,48.9,2710,4890,11888355209,1.8,40.9,13135580695,9.9,2421.7,3073.6,,2750,4970,11735299639,0.4,,9684321633.2,11.6,2271.1,2336.2,,2480,4570,10279779008,4.4,,11602893043,6.3,2102.3,2892.4,,2140,3990,8598522655.1,5,,8771102025,-6.6,2046.6,2262.9,,1700,3650,6581905720.6,2.7,,8065134528.3,8,2268.2,2153.5,,1600,3980,5974010934,6.5,,6647357442.1,7.8,2171.4,1834.9,47.3,1120,3310,4053095396.4,3.1,50.7,4656975222.7,3.5,2079.6,1326.6,,770,2870,2697315877,2.4,,3503723244.8,0.8,2070.8,1028.4,,700,2990,2369567717.1,-0.6,,3034251042.1,4.6,2114,916.6,,670,2930,2231131458.2,4.4,,2796704577.3,3.8,2079.5,869.1,,630,2780,2029299974.2,0.1,,3227927593,7.6,2061.3,1032.1,,570,2710,1767860113.4,-0.9,
"CU","Cuba",,,107352000000,-10.9,7156.1,9477.9,,,,,,,103428000000,-0.2,8031,9125.9,,,,,,,100050000000,2.2,8041,8824.2,,8630,,97808552246,,,96851000000,1.8,7863.4,8541.2,,7950,,90098235719,,,91370000000,0.5,7726.5,8060.8,,7480,,84811579545,,,87133000000,4.4,7694,7694,,7230,,81915785583,,,80656000000,1,7378.7,7133.3,,6840,,77327219279,,,77148000000,2.7,7317.9,6837.7,,6640,,74969137046,,,73141000000,3,7138.4,6497.3,,6280,,70683409178,,,68990000000,2.8,6942.1,6139.7,,5930,,66619952970,,,64328000000,2.4,6759.3,5730.4,,5610,,63021418248,,,62080000000,1.5,6601,5529.7,,5520,,61972344609,,,60806300000,4.1,6500.7,5411.3,,5460,,61343665259,,,58603900000,7.3,6235.8,5208.7,,5000,,56233339628,,,52742800000,12.1,5808.3,4683.6,,4530,,50980928108,,,42643836100,11.2,5182.8,3786.7,,3960,,44603695963,,,38203000000,5.8,4665.4,3395.7,,3490,,39238796239,,,35901200000,3.8,4419.2,3197.1,,3100,,34760454082,,,33590500000,1.4,4268.9,2999.2,,2820,,31589119971,,,31682400000,3.2,4222.1,2837.7,,2760,,30766149187,,,30565400000,5.9,4105.9,2747.1,,2620,,29128253952,,
"UC","Curacao",,,2595821708.8,-18.4,15262.3,16753,,17150,22220,2657565319,,,3101787709.5,-3.4,18407.5,19701.3,,20370,26620,3206481666,2.6,,3127908044.7,-2.2,18828.7,19630.9,,20090,26520,3201856433.6,2.6,,3116610111.7,-1.7,19144.8,19457.5,,19610,26370,3140463084.1,1.6,,3122287933,-1,19546.1,19555.4,,19680,25430,3141529491.5,-0,,3151910782.1,0.3,19951.3,19951.3,,20210,25820,3192112470.6,-0.5,,3158406033.5,-1.1,20160.2,20258,,20460,25930,3189619094,1.5,,3147616201.1,-0.8,20669.1,20462.7,,20580,26300,3165980875.2,1.3,,3131096089.4,-0.1,21072.1,20587.4,,,26490,,3.2,,3038699608.9,0.6,21277.2,20146.4,,,27100,,2.3,,,0.1,21450.3,,,,26790,,2.8,,,-0.5,21705.6,,,,26440,,1.8,,,2.2,21964.1,,,,26940,,6.9,,,2.5,21766,,,,26750,,3,,,1.6,21665,,,,25930,,3.1,,,0.7,21870.8,,,,25350,,4.1,,,0.2,22284.9,,,,,,1.4,,,0.3,22625.5,,,,,,1.6,,,0.4,23030.6,,,,,,0.4,,,-0.7,22967.6,,,,,,1.8,,,,22296.9,,,,,,,
"CY","Cyprus",,,24612646488,-5.2,26372.7,27527.8,,26440,37030,23639615035,-0.6,,25758357775,5.3,28211.1,29206.1,31.2,28600,40340,25222892827,0.3,14.3,25522671233,5.7,27161.4,29334.1,32.7,27330,39100,23780829921,1.4,14.7,22870833710,5.9,26013.8,26608.9,31.4,24960,37160,21454389016,0.5,15.4,20953442550,6.5,24805.2,24605.9,32.9,24720,34300,21052761898,-1.4,15.7,19842404305,3.4,23408.3,23408.3,34,26010,31610,22047006898,-2.1,16.1,23156850007,-1.8,22513.8,27163.3,35.6,26530,29280,22618581237,-1.4,16.2,23900872626,-6.6,22682.3,27729.2,37,27830,30020,23984476143,-0.4,14.4,24978513427,-3.4,24216.5,28912.2,34.3,29680,31610,25641983061,2.4,15.3,27565469098,0.4,25466.1,32396.4,32.6,32550,34190,27699896671,3.3,14.7,25732432719,2,26019.8,31023.6,31.5,32040,32950,26575890236,2.4,14.8,25945391775,-2,26181.7,32109.2,32.1,32780,33790,26484499554,0.3,15.6,27844698989,3.6,27447.2,35397.4,31.7,31970,34260,25151977751,4.7,15.8,23968764030,5.1,27154.9,31244.9,31.1,27340,30770,20976215336,2.4,15.9,20072786351,4.7,26393.7,26729.3,31.1,25600,28350,19226577788,2.3,15.5,18433411267,4.9,25629.6,24959.3,30.3,23990,26320,17715663973,2.6,15.6,17320552500,5,24797.9,23792.6,30.1,20260,24480,14750716602,2.3,16.1,14547325028,2.6,23929.1,20252.2,,16710,23290,12003062484,4.1,,11420227885,3.7,23602.5,16093.2,,14510,22340,10293746014,2.8,,10397897086,4,23017.6,14821.4,,14170,21230,9941641678.4,2,,9985844486.3,6,22382.4,14388.3,,14180,19460,9843307590,4.1,
"DJ","Djibouti",,,3384385216.7,0.5,3246.7,3425.5,,3310,5610,3273543112.6,1.8,,3324615549.1,7.8,3278.5,3414.9,,3310,5610,3225264172.4,3.3,,3012803457.1,8.4,3088.6,3141.9,,3010,5090,2885471237.3,0.1,,2751445573.7,5.4,2893.8,2914.4,41.6,2730,4660,2574242340.2,0.6,21.1,2603540256.9,6.7,2789.7,2802.2,,2640,4550,2450776007.9,2.7,,2430274292.3,7.7,2658.9,2658.9,,2550,4520,2329487587.2,-0.8,,2214679081.3,7.1,2510.9,2464.3,,,4240,,1.3,,2042817162.9,,2386.2,2312.7,44.1,,4050,,2.7,,1353632941.5,,,1559.2,45.1,,,,3.7,,1239144501.8,,,1451.5,,,,,5.1,,1128611700.4,,,1343.3,,,,,4,,1049110684.7,,,1267.3,,,,,1.7,,999105339.3,,,1223.9,,,,,12,,847918929.1,,,1052.7,,,,,5,,768873684,,,967.7,,,,,3.5,,708633194.7,,,904.7,,,,,3.1,,666072101.8,,,863.2,,,,,3.1,,622044665.5,,,818.9,,,,,2,,591122039.6,,,791.4,40,,,,0.6,,572417440.8,,,780.9,,,,,1.7,,551230861.9,,,768.2,,,,,,
"EG","Egypt",,,365252651280,3.6,4028.4,3569.2,,3000,12220,307449836230,5,,303080865600,5.6,3965,3019.1,,2690,11820,269855667370,9.2,,249712999440,5.3,3831.2,2537.1,,2790,11350,274939894090,14.4,,235733695650,4.2,3712.6,2444.3,31.5,3030,10800,292428031960,29.5,32.5,332441717790,4.3,3638.9,3519.9,,3440,11040,325198707860,13.8,,329366576820,4.4,3562.9,3562.9,31.8,3340,11310,309136456240,10.4,27.8,305595408900,2.9,3489.9,3379.6,,3230,10640,292268185050,10.1,,288434108530,2.2,3468.5,3262.7,,3030,10930,267961113980,9.5,,279116666670,2.2,3472.1,3229.7,28.3,2840,10840,245180041720,7.1,,235989672980,1.8,3472.6,2791.8,,2560,9440,216784268950,10.1,,218983666060,5.1,3485.3,2646,30.2,2370,9330,196291853710,11.3,,189147005440,4.7,3381.1,2331.3,,2120,9140,172128963790,11.8,,162818181820,7.2,3290.9,2044.5,31.1,1840,8890,146881389360,18.3,,130437828370,7.1,3126.3,1667.3,,1530,8290,119972956030,9.3,,107426086960,6.8,2970.9,1397.4,,1320,7640,101586643880,7.6,,89600665557,4.5,2830.4,1186.4,,1220,7010,91810183216,4.9,,78782467532,4.1,2758.6,1062.2,31.8,1200,6630,88795737077,11.3,,80288461538,3.2,2699.1,1102.5,,1240,6330,90657199756,4.5,,85146067416,2.4,2664.6,1191.1,,1330,6150,94941797648,2.7,,96684636119,3.5,2651.9,1378.2,,1430,6080,100570319790,2.3,,99838543960,6.4,2610.5,1450.5,,1420,5820,97432762040,2.7,
"EK","Equatorial Guinea",,,10021856754,-4.9,6777.8,7143.2,,5810,13340,8145357844,4.8,,11417278045,-6,7373.6,8419.9,,6280,14070,8512049428.5,1.2,,13097012189,-6.2,8124.2,10005.6,,6730,15980,8803819947,1.3,,12200913888,-5.7,8987,9667.9,,6510,16600,8216527391.3,0.7,,11240808847,-8.8,9894,9250.3,,8270,15850,10043892395,1.4,,13185496881,-9.1,11283.4,11283.4,,10850,18130,12677723819,1.7,,21765453087,0.4,12926.5,19394.1,,13230,22910,14849041963,4.3,,21948834290,-4.1,13421.6,20390.7,,14030,23770,15099256046,2.9,,22388344124,8.3,14614.2,21711.2,,13870,24910,14300511962,3.7,,21357343682,6.5,14098.6,21641.7,,11540,22180,11384729766,4.8,,16314443429,-8.9,13841.4,17288.8,,9970,19350,9412211112.1,7.8,,15027795173,1.3,15906.5,16668.1,,12530,24770,11300350922,4.7,,19749893536,17.8,16438.6,22942.6,,14250,28460,12267251927,6.6,,13071718759,15.3,14619.8,15908.4,,11600,26790,9529642753.3,2.8,,10086528699,7.7,13282.9,12857.4,,8110,23340,6359387171.7,4.4,76.8,8217369092.7,16.7,12908.1,10963.4,,3890,14200,2915838580.6,5.6,,4410764338.7,38,11558.7,6152.1,,1720,9850,1235368024.3,4.2,,2484745935.1,14,8745.3,3618.5,,1190,7840,817747261.3,7.3,,1806742742.3,19.5,8004,2744.2,,1270,8230,834424406.2,7.6,,1461139022,63.4,6983.4,2313.2,,900,6420,571054434.9,8.8,,1045998496.4,18.2,4454,1725.6,,770,5890,466800820.7,4.8,
